act_WValidateapplication_avg_arrival_1D,act_WValidateapplication_avg_duration_1D,act_WValidateapplication_whole_duration_1D,act_WValidateapplication_avgwaiting_time_1D,act_WValidateapplication_wholewaiting_time_1D,act_WValidateapplication_waiting_events_1D,act_WValidateapplication_finished_events_1D,act_WValidateapplication_idle_time_1D,act_WValidateapplication_inprocess_events_1D,act_WValidateapplication_unique_resources_1D,act_WValidateapplication_engaged_resources_1D
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
2,0.058611111111111114,0.1175,0.004861111111111111,0.009722222222222222,2,2,2.1283333333333334,0,1,2
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
1,0.09305555555555556,0.09305555555555556,0.009444444444444445,0.009444444444444445,1,1,0.0,0,1,1
2,3.3625,6.725,0.0,0.0,0,2,21.62472222222222,0,2,2
12,23.1425,13.712777777777777,0.00018518518518518518,0.0022222222222222222,1,4,18.941666666666666,8,7,12
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
20,0.41555555555555557,7.8975,0.8734722222222221,17.46944444444444,4,3,22.677777777777777,16,7,19
9,5.128333333333333,11.898333333333333,1.9905246913580248,17.914722222222224,7,6,19.184444444444445,1,5,7
66,22.485,0.5697222222222222,0.47428030303030305,31.302500000000002,11,34,1.2894444444444444,29,12,63
39,23.56361111111111,8.299444444444445,0.32043447293447297,12.496944444444445,5,19,0.5033333333333333,17,12,36
67,15.095,17.70388888888889,0.316181592039801,21.184166666666666,9,19,9.999722222222223,41,9,60
1,5.746388888888889,5.746388888888889,0.0,0.0,0,0,0.0,1,1,1
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
35,23.96388888888889,22.808333333333334,0.46680952380952373,16.33833333333333,7,7,23.522777777777776,26,9,33
56,5.0008333333333335,5.047777777777778,0.6397023809523809,35.82333333333333,11,15,18.926666666666666,34,13,49
56,7.570277777777778,0.8016666666666666,0.18803075396825397,10.529722222222222,4,11,16.306944444444444,43,12,54
38,20.711388888888887,1.6105555555555555,0.2147076023391813,8.158888888888889,7,18,3.417222222222222,18,9,36
72,11.9,17.608333333333334,0.4124614197530865,29.697222222222226,16,31,12.808333333333334,33,9,64
8,17.281111111111112,0.9691666666666666,0.00010416666666666667,0.0008333333333333334,1,2,16.516666666666666,5,4,7
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
49,1.6327777777777779,8.018055555555556,0.7445068027210885,36.48083333333334,10,15,22.465833333333332,34,9,49
35,14.803611111111111,23.331944444444446,0.3495634920634921,12.234722222222222,5,9,12.456388888888888,25,9,34
66,3.4930555555555554,7.5625,0.12344276094276094,8.147222222222222,2,17,20.459444444444443,47,8,64
55,14.431111111111111,15.991111111111111,0.874611111111111,48.10361111111111,14,11,8.802777777777777,40,10,51
72,18.458333333333332,7.168888888888889,0.30897376543209876,22.246111111111112,18,13,7.861111111111111,55,9,68
2,9.117777777777778,18.235555555555557,0.0,0.0,0,0,1.956388888888889,2,2,2
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
